filename,Subfolder,description,file_type
Final Post_Bid_Tech & Comm. MOM_DVC Bulk,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Post Stage I Bid MOM\MOM,"This is the Final MoM of Techno-Commercial post-bid discussions between DVC and Thermax Ltd. It details agreements on technical specifications, auxiliary power consumption limits, commissioning spares, special tools, vendor approvals, and collaboration with Marsulex Environmental Technologies. It consolidates all clarifications and compliance commitments for the FGD bulk package",Minutes of Meeting
Tech_MOM,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Post Stage I Bid MOM\MOM,"This document contains the Minutes of Meeting (MoM) from post-bid discussions held on 28 January 2019 between DVC and Thermax Ltd. for FGD system packages. It records agreements on technical compliance, deviations withdrawal, design clarifications, and equipment placement requirements, serving as an official record of techno-commercial alignment",Minutes of Meeting
MoM_QA_DVC_Thermac,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Post Stage I Bid MOM\Vendor List,"This Word document holds Minutes of Meeting on QA & Inspection issues, dated 25 January 2019. It outlines Thermax’s proposed sub-vendor list, DVC’s acceptance or “details required” remarks, and compliance conditions. It formalizes agreements on vendor approvals, BOI sourcing, and credential requirements for the FGD package",Minutes of Meeting
Thermac_BOP,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Post Stage I Bid MOM\Vendor List,"This spreadsheet captures data related to Balance of Plant (BOP) systems in the FGD project. It likely includes specifications, vendor details, and scheduling inputs for auxiliary systems supporting the main plant execution.",Supporting Document
Thermac_Elec,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Post Stage I Bid MOM\Vendor List,"An Excel sheet containing electrical-related project data from Thermax. It likely includes equipment lists, power load details, and subsystem design inputs for the DVC FGD projects. The sheet serves as a structured record for engineering and planning reference.",Supporting Document
Thermac_Main,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Post Stage I Bid MOM\Vendor List,"A central Excel file consolidating main project data from Thermax for the DVC FGD package. It probably contains core equipment schedules, material lists, and execution tracking across civil, mechanical, and electrical scopes.",Supporting Document
Thermac_Subvendor_C&I,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Post Stage I Bid MOM\Vendor List,"This Excel sheet lists Thermax’s sub-vendors for Control & Instrumentation (C&I) systems. It provides details on proposed suppliers, approval requirements, and documentation relevant for procurement and vendor clearance under the FGD contract.",Supporting Document
Attachment 3K,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,Cover schedule of Thermax™'s proposed/approved vendors for major FGD equipment and civil works,Supporting Document
Attachment 3K_Annexure 1_Booster Fan L&T Howden,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Vendor dossier for booster fans: capability, references, tech data, QA",Supporting Document
Attachment 3K_Annexure 2_Booster Fan TLT,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Alternative booster fan vendor proposal: credentials, references, specs",Supporting Document
Attachment 3K_Annexure 3_Slurry Recirculation Pump_Shijiazhuang Tech-macro1,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,Slurry pump vendor profile and performance range,Supporting Document
Attachment 3K_Annexure 4_Slurry Recirculation Pump_KSB,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"KSB slurry pump offering, curves, materials, references",Supporting Document
Attachment 3K_Annexure 5_Slurry Recirculation Pump_Shijiazhuang Kingda,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,Kingda slurry pump credentials and technical particulars,Supporting Document
Attachment 3K_Annexure 6_Oxidation Blowers_Aerzen Machines,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Aerzen blower package: duty points, compliance, references",Supporting Document
Attachment 3K_Annexure 7_Oxidation Blowers_Boldrocchi,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Boldrocchi oxidation air blowers: specs, experience list, QA",Supporting Document
Attachment 3K_Annexure 8_Oxidation Blowers_Godrej,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,Godrej blower solution details: performance data and scope,Supporting Document
Attachment 3K_Annexure 9_Oxidation Blowers_JTLFans,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,JTL oxidation fan/blower proposal with technical data,Supporting Document
Attachment 3K_Annexure 10_Oxidation Blowers_SWAM,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"SWAM blowers: data sheets, credentials, delivery capability",Supporting Document
Attachment 3K_Annexure 11_Mills_Cemetec,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Limestone mill vendor (Cemetec): capacities, drive options, references",Supporting Document
Attachment 3K_Annexure 12_Mills_Flsmidth,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"FLSmidth limestone milling: product notes, installations, tech compliance",Supporting Document
Attachment 3K_Annexure 13_Mills_Metso,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Metso mills offering: sizing ranges, performance, experience",Supporting Document
Attachment 3K_Annexure 14_Mills_Thyssenkrupp,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Thyssenkrupp mills: design features, throughput, references",Supporting Document
Attachment 3K_Annexure 15_Sam Turbo_Slurry Pump,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Sam Turbo slurry pumps: selection range, materials, QA plan",Supporting Document
Attachment 3K_Annexure 16_Agitators_Ekato,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Ekato agitators for absorber/limestone prep: configurations, seals, MOC",Supporting Document
Attachment 3K_Annexure 17_VBF_Eimco_KCP,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Vacuum Belt Filter package: duty, sizing, filtrate handling, references",Supporting Document
Attachment 3K_Annexure 18_VBF_FLSmidth,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"FLSmidth VBF solution: footprints, utilities, O&M notes",Supporting Document
Attachment 3K_Annexure 19_VBF_Tenova,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Tenova VBF system: capacity options, consumables, similar supplies",Supporting Document
Attachment 3K_Annexure 20_VBF_Thyssenkrupp,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Thyssenkrupp VBF: spec sheet, application fit, deliveries",Supporting Document
Attachment 3K_Annexure 23_HT Motors_Siemens,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Siemens HT motors for major drives: frame sizes, efficiencies, certifications",Supporting Document
Attachment 3K_Annexure 24_HT Motors_WEG,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"WEG HT motors: ratings, protection, compliance to Indian/IEC standards",Supporting Document
Attachment 3K_Annexure 25_Civil_Bygging,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,Bygging civil vendor: formwork/shuttering/large pours expertise and credentials,Supporting Document
Attachment 3K_Annexure 26_Civil_Design Excellence,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Civil/structural design consultant profile: team, codes, experience",Supporting Document
Attachment 3K_Annexure 27_Civil_Magcon,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid\Attachment 3K,"Civil contractor dossier: scope capability, resources, past projects",Supporting Document
1_BID FORM,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Official bid form submitted by Thermax Ltd. for the DVC FGD package. It provides the bidder’s undertaking, general compliance, and confirmation of acceptance of tender terms.",Bid Document
ATTACHMENT 1,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,"Details of the consortium/partnership agreement or bidder structure, outlining the roles and responsibilities of Thermax and its technical partner(s)",Supporting Document
ATTACHMENT 2,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,Power of Attorney authorizing representatives of Thermax Ltd. to sign and execute bid-related documents on behalf of the company.,Supporting Document
Attachment 3,Thermax Bid & MOMs.zip\Thermax Bid & MOMs\Stage I_Unpriced Techno-Commercial Bid,General compliance schedules related to technical qualifications and project experience. Summarizes bidder’s credentials and outlines overall scope adherence.,Supporting Document
