filename,Subfolder,description,file_type
Amendment 1 to NIT,Tender Document.zip\Tender Document\Stage I\Amendments,"Amendment dated 23.10.2018 extends the deadline for receiving pre-bid queries for the FGD system tender (7 units across 4 projects). It also formalizes bidder site visits to MTPS, KTPS, RTPS, and BTPS with DVC coordinators. All other conditions of the tender remain unchanged",Tender Amendment/Clarification
Amendment 2 to Bidding Documents,Tender Document.zip\Tender Document\Stage I\Amendments,This file introduces early modifications to the bidding framework after October 2018. It adjusts timelines and procedural requirements while maintaining the core tender conditions. The amendment is to be treated as part of the original FGD package tender documents.,Tender Amendment/Clarification
Amendment 4 to Biddning Documents_29112018,Tender Document.zip\Tender Document\Stage I\Amendments,"This amendment revises the bidding schedule for Stage-I (techno-commercial) submission, extending timelines until 17.12.2018. It also sets out the process for Stage-II (price bid and e-reverse auction), to be intimated later. The cost of tender documents is fixed at ₹35,000 including GST",Tender Amendment/Clarification
Amendment 6 to Bidding documents,Tender Document.zip\Tender Document\Stage I\Amendments,Amendment dated 15.12.2018 further extends the Stage-I bid submission to 27.12.2018 with revised opening dates. It reconfirms bid submission formats (envelopes for techno-commercial and price bids) and notes that no further extensions will be entertained. All other terms remain unchanged,Tender Amendment/Clarification
CLARIFICATION ON BIDDING DOCUMENTS_20122018,Tender Document.zip\Tender Document\Stage I\Amendments,"This document (20.12.2018) compiles DVC’s official replies to technical pre-bid queries on the FGD tender. It addresses issues such as guaranteed auxiliary power consumption, SO₂ concentrations, and feasibility of sizing assumptions. Clarifications confirm that bidders must adhere to the original technical specifications",Tender Amendment/Clarification
Amendment 3 to NIT,Tender Document.zip\Tender Document\Stage I\Amendments\Amendment 3_15112018,"Amendment No. 3 (15.11.2018) to the FGD tender consolidates pre-bid technical and commercial replies and attaches a large set of revised system drawings (absorber, gypsum dewatering, ECW system, layouts, and ID fan). It also updates the Stage-I techno-commercial bidding schedule with a submission deadline of 30.11.2018",Tender Amendment/Clarification
AMENDMENT-KTPS,Tender Document.zip\Tender Document\Stage I\Amendments\Amendment 3_15112018,"This amendment file provides KTPS-specific clarifications and modifications to the FGD tender. It highlights layout considerations, absorber/gypsum dewatering arrangements, and site-specific scheme adjustments. The content is part of the broader Amendment No. 3 package",Tender Amendment/Clarification
LAYOUT AND SPACE FOR FGD SYSTEMSH-1 OF 2 Rev-1 for KTPS,Tender Document.zip\Tender Document\Stage I\Amendments\Amendment 3_15112018,"This engineering drawing (Rev-1) shows the site layout and allocated space for the Flue Gas Desulphurisation system at KTPS. It maps plant facilities with grid references, pipelines, and infrastructure placement for proper integration",Plant Layout / Process Scheme
LAYOUT AND SPACE FOR FGD SYSTEMSH-2 OF 2 Rev-1 for KTPS,Tender Document.zip\Tender Document\Stage I\Amendments\Amendment 3_15112018,"A companion drawing to SH-1, this layout identifies tentative space reserved for the KTPS FGD installation. Marked in highlighted zones, it ensures future expansion and integration with the thermal plant infrastructure",Plant Layout / Process Scheme
Pre Bid Replies (Commercial 2),Tender Document.zip\Tender Document\Stage I\Amendments\Amendment 3_15112018,"This document compiles official DVC responses to commercial queries from bidders. It clarifies issues like submission of joint undertakings, value of completed works, O&M contract conditions, and applicability of custom duty benefits during the operation phase",Bid Document
