filename,description,file_type
0005BGR0178620.pdf,"A bank guarantee document issued by ICICI Bank in favor of Damodar Valley Corporation (DVC). It records guarantee numbers, validity, claim periods, and authorized signatories, confirming financial security for contractual obligations",Bank Guarantee
0005BGR0302220.pdf,"An amendment of a bank guarantee by ICICI Bank favoring DVC, originally dated February 25, 2020, with updated validity till March 2025. It details the guarantee value (₹2,00,03,561.72), expiry/claim dates, and authorization stamps",Bank Guarantee
01 - Force Majeure Covid 19.pdf,this document highlights pandemic-related delays and disruptions. It formalizes the contractor’s position and requests relief under the Force Majeure clause.,Force Majeure Notice
02 - Force Majeure Covid 19.pdf,"This document provides an official communication regarding the invocation of Force Majeure due to the Covid-19 pandemic. It outlines delays, contractual impacts, and obligations arising from the unprecedented disruption, serving as a formal notice to stakeholders.",Force Majeure Notice
04MPR - Jan'20.pdf,"This file is a Monthly Progress Report (MPR) for January 2020, recording site progress and execution updates. It covers manpower deployment, civil and mechanical works, engineering status, procurement, and hindrances, serving as a monthly performance tracker for stakeholders.",Monthly Progress Report
1_L2 Schedule Revision_till 14.7.2022_Delivery extension.pdf,"This document is a Revised Level-2 Project Schedule, reflecting updated timelines for engineering, procurement, and construction activities. It incorporates delivery extensions up to July 2022 and highlights revised milestones, critical path items, and adjusted progress targets for the DVC FGD project.",Project Schedule
1_L2 schedule.pdf,"A detailed L2 schedule for DVC’s FGD project at Koderma Thermal Power Station (2×500 MW). It contains Gantt charts and milestone tracking for engineering, procurement, and construction phases across multiple subsystems",Project Schedule
163_Release of retention payment against BG.pdf,This is a financial correspondence letter requesting the release of retention payments against Bank Guarantees under the FGD project contract. It emphasizes contractual compliance and the need for fund release to support cash flow and project execution,Bank Guarantee
165_request.pdf,"This file contains a formal request letter addressed to DVC authorities. It seeks administrative or contractual approval linked to project execution requirements, reflecting ongoing coordination between contractor and client",General Project Document
1st book 127 page.pdf,,General Project Document
2220203260889300008_ WL.pdf,"This document is an insurance endorsement certificate issued by HDFC Ergo for the Erection All Risk Policy covering the KTPS FGD project. It confirms extension of coverage validity, co-insurer details, and updated policy endorsements, ensuring risk protection during the extended project duration.",Insurance Document
2st book 151 page.pdf,,General Project Document
BU Head review meeting June-23 (Data for May-23).xlsx,"This file is a Business Unit Head Review Report, with the reference month mentioned in the file name. It contains discipline-wise sheets tracking engineering, fabrication, civil, and erection activities with proposal vs. executed quantities, balance work, and manpower availability. The report provides a structured review of monthly project performance for management meetings.",General Project Document
BU Head review meeting Mar-23 (Data for Feb-23).xlsx,"This file is a Business Unit Head Review Report, with the reference month mentioned in the file name. It contains discipline-wise sheets tracking engineering, fabrication, civil, and erection activities with proposal vs. executed quantities, balance work, and manpower availability. The report provides a structured review of monthly project performance for management meetings.",General Project Document
BU Head review meeting May-23 (Data for Apr-23).xlsx,"This file is a Business Unit Head Review Report, with the reference month mentioned in the file name. It contains discipline-wise sheets tracking engineering, fabrication, civil, and erection activities with proposal vs. executed quantities, balance work, and manpower availability. The report provides a structured review of monthly project performance for management meetings.",General Project Document
Copy of material received at site DRR 2024_15.05.2024.xlsx,"This file is a Material Receipt & Inventory Report, with the reporting date specified in the file name. It tracks equipment and material deliveries to site, including descriptions, codes, quantities, challan details, and receipt confirmations. Additional sheets capture pending/balance materials and specialized items for project monitoring and reconciliation.",Material/Inventory Report
Daily Progress Report TL FGD KTPS 01.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 01.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 02.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 04.05.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 05.05.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 06.05.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 07.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 07.05.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 08.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 08.05.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 08.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 09.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 11.04.22.xIsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 12.04.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 14.04.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 15.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 15.04.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 16.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 17.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 19.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 19.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 20.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 20.04.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 20.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 21.03.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 21.04.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 21.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 22.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 22.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 23.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 23.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 24.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 26.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 26.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 27.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 27.04.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 27.06.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 28.02.22.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 28.04.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Daily Progress Report TL FGD KTPS 31.05.23.xlsx,daily progress report of the date mentioned at the end of the filename containing jobs to be done on that day and their progress. It also contains the manpower mapping and construction materials stock on different workbooks of the same file.,General Project Document
Delay in Issuing of Gate-Passes of Workers.pdf,"This file is a letter of grievance highlighting delays in issuing gate-passes for site workers. It explains how restricted entry hampered manpower mobilization, delayed work fronts, and impacted progress, while urging DVC to expedite clearance for uninterrupted execution",General Project Document
DVC PROJECT- L2 SCHEDULE -- AUG-22 UPDATE.pdf cco (L,"This document is a Project Schedule Update Report, with the specific update month mentioned in the file name. It presents Level-2 schedules covering engineering, procurement, civil, mechanical, and commissioning activities. The report includes Gantt charts, milestones, and critical path tracking to show planned vs. actual timelines and highlight delays, completed tasks, and revised targets. It serves as a time-control tool for monitoring overall project execution.",Project Schedule
DVC PROJECT- L2 SCHEDULE -- FEB-24 UPDATE 1.pdf,"This document is a Project Schedule Update Report, with the specific update month mentioned in the file name. It presents Level-2 schedules covering engineering, procurement, civil, mechanical, and commissioning activities. The report includes Gantt charts, milestones, and critical path tracking to show planned vs. actual timelines and highlight delays, completed tasks, and revised targets. It serves as a time-control tool for monitoring overall project execution.",Project Schedule
DVC PROJECT- L2 SCHEDULE -- FEB-24 UPDATE.pdf,"This document is a Project Schedule Update Report, with the specific update month mentioned in the file name. It presents Level-2 schedules covering engineering, procurement, civil, mechanical, and commissioning activities. The report includes Gantt charts, milestones, and critical path tracking to show planned vs. actual timelines and highlight delays, completed tasks, and revised targets. It serves as a time-control tool for monitoring overall project execution.",Project Schedule
